threshold,precision,recall,f1
0.725,0.9612054035330794,0.8671875,0.9117792015771315
0.73,0.9611919611919612,0.866875,0.9116003943476833
0.735,0.9611380985426787,0.865625,0.9108845774416311
0.74,0.9610840861709521,0.864375,0.910167818361303
0.745,0.9613778705636743,0.8634375,0.9097793875535067
0.75,0.9616858237547893,0.8628125,0.90957008730028
0.755,0.9629629629629629,0.86125,0.9092708677004289
0.76,0.963547143357869,0.8590625,0.9083099289608458
0.765,0.9644991212653778,0.8575,0.9078577336641853
0.77,0.966113660430639,0.8553125,0.9073429471241505
0.775,0.9670563230605739,0.853125,0.9065249875477337
0.78,0.967627178939879,0.85,0.9050074862751623
0.785,0.9682483053870853,0.848125,0.9042145593869731
0.79,0.968503937007874,0.845625,0.9029029029029029
0.795,0.9687948350071736,0.8440625,0.9021376085504342
0.8,0.9687387711103126,0.8425,0.9012201236837707
0.805,0.9700900900900901,0.84125,0.9010878661087867
0.81,0.9707158351409978,0.8390625,0.9001005698960778
0.815,0.9712518195050946,0.8340625,0.8974445191661062
0.82,0.9715432323969354,0.8321875,0.8964820737249621
0.825,0.9724467303453344,0.8271875,0.8939547450185749
0.83,0.9741315594974131,0.82375,0.89265154080596
0.835,0.9747493501670998,0.8203125,0.8908874936365179
0.84,0.9754006708907939,0.8178125,0.8896821349651538
0.845,0.9760658189977561,0.815625,0.8886618998978549
0.85,0.9763690922730682,0.8134375,0.8874872144561882
0.855,0.9770158251695554,0.8103125,0.8858899897505979
0.86,0.978030303030303,0.806875,0.8842465753424658
0.865,0.9798172124904798,0.8040625,0.8832818400274631
0.87,0.9801450935471554,0.8021875,0.8822821790685684
